what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1386620098779
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1386620099481
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1386620100854
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1386620106876
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1386620107234
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1386620110401
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1386620112897
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1386620119746
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1386620124691
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1386620128374
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1386620129762
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1386620132399
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1386620137921
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1386620139201
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1386620143990
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1386620146829
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1386620148327
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1386620150760
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1386620151166
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1386620151977
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1386620152430
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1386620154645
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1386620155285
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1386620157687
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1386620157874
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1386620158545
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1386620158888
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1386620158935
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1386620159528
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1386620162430
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1386620162804
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1386620163600
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1386620164005
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1386620166938
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1386620167266
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1386620171228
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1386620171228
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1386620173085
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1386620176002
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1386620180245
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1386620180245
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1386620180854
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1386620182445
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1386620183412
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1386620184879
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1386620188139
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1386620189512
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1386620192382
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1386620193521
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1386620195284
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1386620196360
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1386620197608
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1386620198638
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1386620200853
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1386620203849
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1386620203849
